Paper,Conference,Citation Number,Authors,Number of Authors,Title,Publication Year,Publication Venue,Id,Title_sch,Venue_sch,Publication Venue_sch,Publication Year_sch,Authors_sch,Number Authors_sch,Citation Count_sch,Influential Citation Count_sch,Reference Count_sch,Open Access_sch,Field of Study_sch,Field of Study s2_sch,In Paper,In Intro,Not Found,Score title,Score author,Exists,identifier,Title Length,Title Length_sch,Publication Venue_processed,Venue_sch_processed,strategy,Unique,order
Personalized Prediction of Recurrent Stress Events Using Self-Supervised Learning on Multimodal Time-Series Data,ICML,5,"Healey, J., & Picard, R.",2.0,Detecting stress during real-world driving tasks using physiological sensors,2005.0,"Intelligent Transportation Systems, IEEE Transactions on",0a69f74ca6dfcae8509e62725fd5c0e6999a81ef,Detecting stress during real-world driving tasks using physiological sensors,IEEE transactions on intelligent transportation systems (Print),,2005.0,"Jennifer Healey, Rosalind W. Picard",2.0,1796.0,186.0,43.0,True,"['Engineering', 'Computer Science']","[{'category': 'Engineering', 'source': 'external'}, {'category': 'Computer Science', 'source': 'external'}, {'category': 'Engineering', 'source': 's2-fos-model'}, {'category': 'Psychology', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,87.0,1.0,Personalized Prediction of Recurrent Stress Events Using Self-Supervised Learning on Multimodal Time-Series Data5,76.0,76.0,"Intelligent Transportation Systems, IEEE Transactions on",IEEE transactions on intelligent transportation systems (Print),vanilla_1,0,Personalized Prediction of Recurrent Stress Events Using Self-Supervised Learning on Multimodal Time-Series Data5vanilla_1
Reinforcement Learning with General Utilities: Simpler Variance Reduction and Large State-Action Space,ICML,41,"Zhang, K., Luo, Z., & Zhou, Z.",3.0,Composite Objective mirror descent,2013.0,Proceedings International Conference on Machine Learning,,,,,,,,,,,,,,,,,100.0,43.0,0.0,Reinforcement Learning with General Utilities: Simpler Variance Reduction and Large State-Action Space41,34.0,,ICML,,vanilla_1,0,Reinforcement Learning with General Utilities: Simpler Variance Reduction and Large State-Action Space41vanilla_1
Accelerated Federated Learning with Decoupled Adaptive Optimization,ICML,19,"Lichiardopol, S.",1.0,An overview of gradient descent optimization algorithms,2017.0,arXiv preprint arXiv:1706.04838,,,,,,,,,,,,,,,,,100.0,28.0,0.0,Accelerated Federated Learning with Decoupled Adaptive Optimization19,55.0,,arxiv,,vanilla_1,0,Accelerated Federated Learning with Decoupled Adaptive Optimization19vanilla_1
Differentiable Analog Quantum Computing for Optimization and Control,NeurIPS,12,"Preskill, J.",1.0,Quantum Computing in the NISQ era and beyond,2018.0,Quantum 2,f3d594544126e202dbd81c186ca3ce448af5255c,Quantum Computing in the NISQ era and beyond,Quantum,Quantum,2018.0,J. Preskill,1.0,4842.0,306.0,77.0,True,"['Physics', 'Computer Science']","[{'category': 'Physics', 'source': 'external'}, {'category': 'Computer Science', 'source': 'external'}, {'category': 'Physics', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,100.0,1.0,Differentiable Analog Quantum Computing for Optimization and Control12,44.0,44.0,Quantum 2,Quantum,vanilla_1,1,Differentiable Analog Quantum Computing for Optimization and Control12vanilla_1
FastAMI -- a Monte Carlo Approach to the Adjustment for Chance in Clustering Comparison Metrics,AAAI,11,"Vinh, N. X., Epps, J. and Bailey, J.",3.0,"Information theoretic measures for clusterings comparison: Variants, properties, normalization and correction for chance",2010.0,Journal of Machine Learning Research,259da70238f076c670c6cc2901b82b3f20d472df,"Information Theoretic Measures for Clusterings Comparison: Variants, Properties, Normalization and Correction for Chance",Journal of machine learning research,Journal of machine learning research,2010.0,"X. Nguyen, J. Epps, J. Bailey",3.0,1848.0,354.0,32.0,False,"['Computer Science', 'Mathematics']","[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Mathematics', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Mathematics', 'source': 's2-fos-model'}]",1.0,1.0,0.0,100.0,81.0,1.0,FastAMI -- a Monte Carlo Approach to the Adjustment for Chance in Clustering Comparison Metrics11,120.0,120.0,JMLR,JMLR,vanilla_1,1,FastAMI -- a Monte Carlo Approach to the Adjustment for Chance in Clustering Comparison Metrics11vanilla_1
Large Language Model as Attributed Training Data Generator: A Tale of Diversity and Bias,NeurIPS,11,"Radford, A., Wu, J., Child, R., Luan, D., Amodei, D., & Sutskever, I.",6.0,Language models are unsupervised multitask learners,2019.0,OpenAI Blog,9405cc0d6169988371b2755e573cc28650d14dfe,Language Models are Unsupervised Multitask Learners,,,2019.0,"Alec Radford, Jeff Wu, Rewon Child, D. Luan, Dario Amodei, Ilya Sutskever",6.0,13112.0,2723.0,75.0,False,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Linguistics', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,91.0,1.0,Large Language Model as Attributed Training Data Generator: A Tale of Diversity and Bias11,51.0,51.0,OpenAI Blog,,vanilla_1,1,Large Language Model as Attributed Training Data Generator: A Tale of Diversity and Bias11vanilla_1
Going Beyond Linear Mode Connectivity: The Layerwise Linear Feature Connectivity,NeurIPS,3,M. Arpit et al.,et al.,A Closer Look at Memorization in Deep Networks,2017.0,Proceedings of the 34th International Conference on Machine Learning (ICML),5ddd38a5df945e4afee68d96ed51fd6ca1f7d4cf,A Closer Look at Memorization in Deep Networks,International Conference on Machine Learning,International Conference on Machine Learning,2017.0,"Devansh Arpit, Stanislaw Jastrzebski, Nicolas Ballas, David Krueger, Emmanuel Bengio, Maxinder S. Kanwal, Tegan Maharaj, Asja Fischer, Aaron C. Courville, Yoshua Bengio, Simon Lacoste-Julien",11.0,1364.0,132.0,42.0,False,"['Computer Science', 'Mathematics']","[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Mathematics', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,56.0,1.0,Going Beyond Linear Mode Connectivity: The Layerwise Linear Feature Connectivity3,46.0,46.0,ICML,ICML,vanilla_1,0,Going Beyond Linear Mode Connectivity: The Layerwise Linear Feature Connectivity3vanilla_1
On the Convergence and Sample Complexity Analysis of Deep Q-Networks with $ε$-Greedy Exploration,NeurIPS,60,"Pugh, J.K., Soros, L.B., Stanley, K.O.",3.0,Quality diversity: A new frontier for evolutionary computation,2016.0,Frontiers in Robotics and AI,eaa518ad767dae7875f7f8fbc9eca6e05f9d11d0,Quality Diversity: A New Frontier for Evolutionary Computation,Frontiers in Robotics and AI,Frontiers in Robotics and AI,2016.0,"Justin K. Pugh, L. Soros, Kenneth O. Stanley",3.0,433.0,50.0,62.0,True,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,92.0,1.0,On the Convergence and Sample Complexity Analysis of Deep Q-Networks with $ε$-Greedy Exploration60,62.0,62.0,Frontiers in Robotics and AI,Frontiers in Robotics and AI,vanilla_1,0,On the Convergence and Sample Complexity Analysis of Deep Q-Networks with $ε$-Greedy Exploration60vanilla_1
Eagle: Large-Scale Learning of Turbulent Fluid Dynamics with Mesh Transformers,ICLR,5,M. Thuerey,1.0,Data-driven Fluid Simulations using Regression Forests,2015.0,"Computer Graphics Forum 34, no. 8",,,,,,,,,,,,,,,,,100.0,20.0,0.0,Eagle: Large-Scale Learning of Turbulent Fluid Dynamics with Mesh Transformers5,54.0,,"Computer Graphics Forum 34, no. 8",,vanilla_1,0,Eagle: Large-Scale Learning of Turbulent Fluid Dynamics with Mesh Transformers5vanilla_1
Repository-Level Prompt Generation for Large Language Models of Code,ICML,1,"Rudder, B., Klein, J., & Perry, D.",3.0,Using Large Language Models to Power Code Assistants,2019.0,The Journal of Machine Learning Research,,,,,,,,,,,,,,,,,81.0,34.0,0.0,Repository-Level Prompt Generation for Large Language Models of Code1,52.0,,JMLR,,vanilla_1,0,Repository-Level Prompt Generation for Large Language Models of Code1vanilla_1
InfoOT: Information Maximizing Optimal Transport,ICML,20,"Pan, S. J., Tsang, I. W., Kwok, J. T., & Yang, Q.",4.0,Domain adaptation via transfer component analysis,2011.0,IEEE Transactions on Neural Networks,1dae4d61cd74cc919ecc638bde6b7125728ea97b,Domain Adaptation via Transfer Component Analysis,IEEE Transactions on Neural Networks,IEEE Transactions on Neural Networks,2009.0,"Sinno Jialin Pan, I. Tsang, J. Kwok, Qiang Yang",4.0,3406.0,635.0,55.0,True,"['Computer Science', 'Medicine', 'Mathematics']","[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Medicine', 'source': 'external'}, {'category': 'Mathematics', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,85.0,1.0,InfoOT: Information Maximizing Optimal Transport20,49.0,49.0,IEEE Transactions on Neural Networks,IEEE Transactions on Neural Networks,vanilla_1,0,InfoOT: Information Maximizing Optimal Transport20vanilla_1
Effective Dimension in Bandit Problems under Censorship,NeurIPS,4,"Piccolboni, A., and Schindelhauer, C.",2.0,Discrete prediction games with arbitrary feedback and loss,2001.0,14th annual conference on Computational learning theory,eb3289c8315d3aa232587455107d9dea828cd1be,Discrete Prediction Games with Arbitrary Feedback and Loss,COLT/EuroCOLT,,2001.0,"A. Piccolboni, C. Schindelhauer",2.0,77.0,13.0,20.0,False,"['Mathematics', 'Computer Science']","[{'category': 'Mathematics', 'source': 'external'}, {'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Mathematics', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,100.0,1.0,Effective Dimension in Bandit Problems under Censorship4,58.0,58.0,14th annual conference on Computational learning theory,COLT/EuroCOLT,vanilla_1,0,Effective Dimension in Bandit Problems under Censorship4vanilla_1
Transformers learn to implement preconditioned gradient descent for in-context learning,NeurIPS,23,"Mao, Yuning, et al.",et al.,On transformer generalization and robustness,2020.0,Advances in Neural Information Processing Systems,,,,,,,,,,,,,,,,,55.0,41.0,0.0,Transformers learn to implement preconditioned gradient descent for in-context learning23,44.0,,NeurIPS,,vanilla_1,1,Transformers learn to implement preconditioned gradient descent for in-context learning23vanilla_1
RanPAC: Random Projections and Pre-trained Models for Continual Learning,NeurIPS,33,"Shin, Hanul, et al.",et al.,Continual learning with deep generative replay,2017.0,Advances in Neural Information Processing Systems,59a922212153d3407e658109f36c11a34ee7d283,Continual Learning with Deep Generative Replay,Neural Information Processing Systems,Neural Information Processing Systems,2017.0,"Hanul Shin, Jung Kwon Lee, Jaehong Kim, Jiwon Kim",4.0,1446.0,136.0,36.0,False,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,100.0,1.0,RanPAC: Random Projections and Pre-trained Models for Continual Learning33,46.0,46.0,NeurIPS,NeurIPS,vanilla_1,0,RanPAC: Random Projections and Pre-trained Models for Continual Learning33vanilla_1
Computational Doob's h-transforms for Online Filtering of Discretely Observed Diffusions,ICML,4,"Doucet, A., & Johansen, A. M.",2.0,A tutorial on particle filtering and smoothing: Fifteen years later.,2011.0,Handbook of nonlinear filtering,1cd44dd4f1b0b1c0499b1dc9637010c6d63d445c,A Tutorial on Particle Filtering and Smoothing: Fifteen years later,,,2008.0,"A. Doucet, A. M. Johansen",2.0,2021.0,191.0,40.0,False,['Mathematics'],"[{'category': 'Mathematics', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Mathematics', 'source': 's2-fos-model'}]",1.0,0.0,0.0,100.0,100.0,1.0,Computational Doob's h-transforms for Online Filtering of Discretely Observed Diffusions4,68.0,67.0,Handbook of nonlinear filtering,,vanilla_1,0,Computational Doob's h-transforms for Online Filtering of Discretely Observed Diffusions4vanilla_1
An Investigation into Pre-Training Object-Centric Representations for Reinforcement Learning,ICML,53,"Vaswani, A., Shazeer, N., Parmar, N., Uszkoreit, J., Jones, L., Gomez, A. N., Polosukhin, I.",7.0,Attention is all you need,2017.0,Not mentioned,204e3073870fae3d05bcbc2f6a8e263d9b72e776,Attention is All you Need,Neural Information Processing Systems,Neural Information Processing Systems,2017.0,"Ashish Vaswani, Noam M. Shazeer, Niki Parmar, Jakob Uszkoreit, Llion Jones, Aidan N. Gomez, Lukasz Kaiser, Illia Polosukhin",8.0,75256.0,14339.0,42.0,False,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",1.0,0.0,0.0,100.0,93.0,1.0,An Investigation into Pre-Training Object-Centric Representations for Reinforcement Learning53,25.0,25.0,Not mentioned,NeurIPS,vanilla_1,0,An Investigation into Pre-Training Object-Centric Representations for Reinforcement Learning53vanilla_1
Maximum Common Subgraph Guided Graph Retrieval: Late and Early Interaction Networks,NeurIPS,47,"Yan, X., Guo, J., Lan, Y., Cheng, X.",4.0,A Biterm Topic Model for Short Texts,2008.0,Proceedings of the 22nd International Conference on World Wide Web,b7da93b0c797cdb2b5b31adc73224d625c0a0759,A biterm topic model for short texts,The Web Conference,The Web Conference,2013.0,"Xiaohui Yan, J. Guo, Yanyan Lan, Xueqi Cheng",4.0,906.0,152.0,34.0,False,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,90.0,1.0,Maximum Common Subgraph Guided Graph Retrieval: Late and Early Interaction Networks47,36.0,36.0,Proceedings of the 22nd International Conference on World Wide Web,The Web Conference,vanilla_1,1,Maximum Common Subgraph Guided Graph Retrieval: Late and Early Interaction Networks47vanilla_1
Self-Supervised Contrastive Pre-Training For Time Series via Time-Frequency Consistency,NeurIPS,12,"Devlin, J., Chang, M. W., Lee, K., & Toutanova, K.",4.0,Bert: Pre-training of deep bidirectional transformers for language understanding,2018.0,arXiv preprint,df2b0e26d0599ce3e70df8a9da02e51594e0e992,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,North American Chapter of the Association for Computational Linguistics,North American Chapter of the Association for Computational Linguistics,2019.0,"Jacob Devlin, Ming-Wei Chang, Kenton Lee, Kristina Toutanova",4.0,64311.0,18118.0,63.0,False,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",1.0,0.0,0.0,100.0,87.0,1.0,Self-Supervised Contrastive Pre-Training For Time Series via Time-Frequency Consistency12,80.0,80.0,arxiv,North American Chapter of the Association for Computational Linguistics,vanilla_1,0,Self-Supervised Contrastive Pre-Training For Time Series via Time-Frequency Consistency12vanilla_1
QUILT: Effective Multi-Class Classification on Quantum Computers Using an Ensemble of Diverse Quantum Classifiers,AAAI,8,"Sutor, R. S.",1.0,Dancing with Qubits: How quantum computing works and how it can change the world,2019.0,Packt Publishing Ltd,,,,,,,,,,,,,,0.0,0.0,1.0,,,0.0,QUILT: Effective Multi-Class Classification on Quantum Computers Using an Ensemble of Diverse Quantum Classifiers8,80.0,,Packt Publishing Ltd,,vanilla_1,0,QUILT: Effective Multi-Class Classification on Quantum Computers Using an Ensemble of Diverse Quantum Classifiers8vanilla_1
Fast Nonlinear Vector Quantile Regression,ICLR,2,"Carlier, G., Chernozhukov, V., & Galichon, A.",3.0,Vector quantile regression: an optimal transport approach,2016.0,Annals of Statistics,,,,,,,,,,,,,,,,,89.0,97.0,0.0,Fast Nonlinear Vector Quantile Regression2,57.0,,Annals of Statistics,,vanilla_1,1,Fast Nonlinear Vector Quantile Regression2vanilla_1
Reinforcement Learning for Branch-and-Bound Optimisation using Retrospective Trajectories,AAAI,8,"Puterman, M.L.",1.0,Markov Decision Processes: Discrete Stochastic Dynamic Programming,2014.0,John Wiley & Sons,8090121ad488b4af27bc59bf91b62e9c6a6f49c6,Markov Decision Processes: Discrete Stochastic Dynamic Programming,,,1994.0,M. Puterman,1.0,12513.0,1795.0,6.0,False,['Mathematics'],"[{'category': 'Mathematics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Mathematics', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Engineering', 'source': 's2-fos-model'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,100.0,1.0,Reinforcement Learning for Branch-and-Bound Optimisation using Retrospective Trajectories8,66.0,66.0,John Wiley & Sons,,vanilla_1,1,Reinforcement Learning for Branch-and-Bound Optimisation using Retrospective Trajectories8vanilla_1
Deep Contract Design via Discontinuous Networks,NeurIPS,45,"Rosenblatt, F.",1.0,The perceptron: a probabilistic model for information storage and organization in the brain,1958.0,Psychological review,,,,,,,,,,,,,,,,,100.0,22.0,0.0,Deep Contract Design via Discontinuous Networks45,91.0,,Psychological review,,vanilla_1,1,Deep Contract Design via Discontinuous Networks45vanilla_1
Bitrate-Constrained DRO: Beyond Worst Case Robustness To Unknown Group Shifts,ICLR,7,"L. El Ghaoui, V. Vapnik",2.0,Robustness in the Optimization of Risk Measures,2018.0,Journal of Machine Learning Research,,,,,,,,,,,,,,,,,100.0,20.0,0.0,Bitrate-Constrained DRO: Beyond Worst Case Robustness To Unknown Group Shifts7,47.0,,JMLR,,vanilla_1,0,Bitrate-Constrained DRO: Beyond Worst Case Robustness To Unknown Group Shifts7vanilla_1
Self-Correcting Bayesian Optimization through Bayesian Active Learning,NeurIPS,3,"Osborne, M. A.",1.0,"Bayesian Gaussian Processes for Sequential Prediction, Optimisation and Quadrature",2010.0,"Doctoral dissertation, University of Oxford",74d6b7a3fda8ba7e9183ccbb8b697018b38864d7,"Bayesian Gaussian processes for sequential prediction, optimisation and quadrature",,,2010.0,Michael A. Osborne,1.0,140.0,11.0,92.0,False,['Mathematics'],"[{'category': 'Mathematics', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",1.0,1.0,0.0,100.0,90.0,1.0,Self-Correcting Bayesian Optimization through Bayesian Active Learning3,82.0,82.0,"Doctoral dissertation, University of Oxford",,vanilla_1,0,Self-Correcting Bayesian Optimization through Bayesian Active Learning3vanilla_1
Stochastic Rising Bandits,ICML,21,"Lai, Tze Leung and Herbert Robbins",2.0,Asymptotically efficient adaptive allocation rules,1985.0,Advances in applied mathematics 6.1,4c9e36a0dbdc3e7b20e38bd288a804c05c77e9fa,Asymptotically efficient adaptive allocation rules,,,1985.0,"T. Lai, H. Robbins",2.0,1142.0,117.0,3.0,True,['Mathematics'],"[{'category': 'Mathematics', 'source': 'external'}, {'category': 'Mathematics', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,85.0,1.0,Stochastic Rising Bandits21,50.0,50.0,Advances in applied mathematics 6.1,,vanilla_1,1,Stochastic Rising Bandits21vanilla_1
Beyond Uniform Sampling: Offline Reinforcement Learning with Imbalanced Datasets,NeurIPS,9,"Liu, S., Abbeel, P., & Levine, S.",3.0,Off-Policy Deep Reinforcement Learning by Bootstrapping the Covariate Shift,2019.0,Neural Information Processing Systems (NeurIPS),,,,,,,,,,,,,,,,,100.0,35.0,0.0,Beyond Uniform Sampling: Offline Reinforcement Learning with Imbalanced Datasets9,75.0,,NeurIPS,,vanilla_1,0,Beyond Uniform Sampling: Offline Reinforcement Learning with Imbalanced Datasets9vanilla_1
Adaptive Selective Sampling for Online Prediction with Experts,NeurIPS,6,"Freund, Y., Seung, H. S., Shamir, E., & Tishby, N.",4.0,Selective sampling using the query by committee algorithm,1997.0,Machine learning,01dfd7b78017ea4059f02081680a9fd4b2bb2a34,Selective Sampling Using the Query by Committee Algorithm,Machine-mediated learning,Machine-mediated learning,1997.0,"Y. Freund, H. Seung, E. Shamir, Naftali Tishby",4.0,1187.0,60.0,39.0,True,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Mathematics', 'source': 's2-fos-model'}]",1.0,1.0,0.0,100.0,94.0,1.0,Adaptive Selective Sampling for Online Prediction with Experts6,57.0,57.0,Machine learning,Machine-mediated learning,vanilla_1,0,Adaptive Selective Sampling for Online Prediction with Experts6vanilla_1
Bivariate Causal Discovery for Categorical Data via Classification with Optimal Label Permutation,NeurIPS,21,"Dhurandhar, A., Saha, K.",2.0,Wishart's Distribution for Graphical Models and Causal Inference Learning,2018.0,arXiv preprint,,,,,,,,,,,,,,0.0,0.0,1.0,,,0.0,Bivariate Causal Discovery for Categorical Data via Classification with Optimal Label Permutation21,73.0,,arxiv,,vanilla_1,0,Bivariate Causal Discovery for Categorical Data via Classification with Optimal Label Permutation21vanilla_1
"Joint 2D-3D Multi-Task Learning on Cityscapes-3D: 3D Detection, Segmentation, and Depth Estimation",ICLR,21,"Caruana, Rich",1.0,Multitask Learning: A Knowledge-Based Source of Inductive Bias,1993.0,Proceedings of the 10th International Workshop on Machine Learning,9464d15f4f8d578f93332db4aa1c9c182fd51735,Multitask Learning: A Knowledge-Based Source of Inductive Bias,International Conference on Machine Learning,International Conference on Machine Learning,1993.0,R. Caruana,1.0,881.0,84.0,20.0,False,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,88.0,1.0,"Joint 2D-3D Multi-Task Learning on Cityscapes-3D: 3D Detection, Segmentation, and Depth Estimation21",62.0,62.0,Proceedings of the 10th International Workshop on Machine Learning,ICML,vanilla_1,1,"Joint 2D-3D Multi-Task Learning on Cityscapes-3D: 3D Detection, Segmentation, and Depth Estimation21vanilla_1"
Deep Contract Design via Discontinuous Networks,NeurIPS,48,"Rakhlin, A., & Sridharan, K.",2.0,Online learning with noisy side observations,2016.0,Artificial Intelligence and Statistics,,,,,,,,,,,,,,,,,100.0,29.0,0.0,Deep Contract Design via Discontinuous Networks48,44.0,,Artificial Intelligence and Statistics,,vanilla_1,0,Deep Contract Design via Discontinuous Networks48vanilla_1
Instance-optimal PAC Algorithms for Contextual Bandits,NeurIPS,9,"S. Agrawal, N. Goyal",2.0,Analysis of Thompson Sampling for the multi-armed bandit problem,2012.0,Conf on Learning Theory COLT,ea4ffbb3d628cd0739b04b67a1d4c3c7ccf75beb,Analysis of Thompson Sampling for the Multi-armed Bandit Problem,Annual Conference Computational Learning Theory,Annual Conference Computational Learning Theory,2011.0,"Shipra Agrawal, Navin Goyal",2.0,1065.0,130.0,17.0,False,"['Computer Science', 'Mathematics']","[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Mathematics', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Mathematics', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,87.0,1.0,Instance-optimal PAC Algorithms for Contextual Bandits9,64.0,64.0,Conf on Learning Theory COLT,Annual Conference Computational Learning Theory,vanilla_1,1,Instance-optimal PAC Algorithms for Contextual Bandits9vanilla_1
Computational Asymmetries in Robust Classification,ICML,6,"F. Tramèr, A. Kurakin, N. Papernot, I. Goodfellow, D. Boneh, P. McDaniel",6.0,Ensemble Adversarial Training: Attacks and Defenses,2018.0,International Conference on Learning Representations,136dee73f203df2f4831994bf4f0c0a4ad2e764e,Ensemble Adversarial Training: Attacks and Defenses,International Conference on Learning Representations,International Conference on Learning Representations,2017.0,"Florian Tramèr, Alexey Kurakin, Nicolas Papernot, D. Boneh, P. Mcdaniel",5.0,2278.0,270.0,61.0,False,"['Computer Science', 'Mathematics']","[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Mathematics', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Mathematics', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,81.0,1.0,Computational Asymmetries in Robust Classification6,51.0,51.0,ICLR,ICLR,vanilla_1,0,Computational Asymmetries in Robust Classification6vanilla_1
Enhancing the Antidote: Improved Pointwise Certifications against Poisoning Attacks,AAAI,9,"Papernot, N., McDaniel, P., Goodfellow, I., Jha, S., Celik, Z. B., & Swami, A.",6.0,Practical black-box attacks against machine learning,2016.0,Proceedings of the 2017 ACM on Asia conference on computer and communications security,53b047e503f4c24602f376a774d653f7ed56c024,Practical Black-Box Attacks against Machine Learning,ACM Asia Conference on Computer and Communications Security,ACM Asia Conference on Computer and Communications Security,2016.0,"Nicolas Papernot, P. Mcdaniel, I. Goodfellow, S. Jha, Z. B. Celik, A. Swami",6.0,3060.0,241.0,41.0,True,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,98.0,1.0,Enhancing the Antidote: Improved Pointwise Certifications against Poisoning Attacks9,52.0,52.0,Proceedings of the 2017 ACM on Asia conference on computer and communications security,ACM Asia Conference on Computer and Communications Security,vanilla_1,0,Enhancing the Antidote: Improved Pointwise Certifications against Poisoning Attacks9vanilla_1
Optimal Goal-Reaching Reinforcement Learning via Quasimetric Learning,ICML,4,"W. Lingzi, H. Anbang, S. Xiaogang",3.0,Symmetrical Metrics for Object Segmentation,2021.0,IEEE Transactions on Image Processing,,,,,,,,,,,,,,,,,53.0,30.0,0.0,Optimal Goal-Reaching Reinforcement Learning via Quasimetric Learning4,43.0,,IEEE Transactions on Image Processing,,vanilla_1,0,Optimal Goal-Reaching Reinforcement Learning via Quasimetric Learning4vanilla_1
Canonical normalizing flows for manifold learning,NeurIPS,16,"Lawrence, N.D., Seeger, M., Rasmussen, C.E.",3.0,Fast Sparse Gaussian Process Methods: The Informative Vector Machine,2002.0,Advances in Neural Information Processing Systems,fde4bf50d48d54ba913d574c849566dc4f3d4fde,Fast Sparse Gaussian Process Methods: The Informative Vector Machine,Neural Information Processing Systems,Neural Information Processing Systems,2002.0,"Neil D. Lawrence, M. Seeger, R. Herbrich",3.0,583.0,46.0,10.0,False,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Mathematics', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,71.0,1.0,Canonical normalizing flows for manifold learning16,68.0,68.0,NeurIPS,NeurIPS,vanilla_1,1,Canonical normalizing flows for manifold learning16vanilla_1
On the Convergence and Sample Complexity Analysis of Deep Q-Networks with $ε$-Greedy Exploration,NeurIPS,55,"Osband, I., Blundell, C., Pritzel, A., Van Roy, B.",4.0,Deep exploration via bootstrapped DQN,2016.0,Advances in neural information processing systems,4b63e34276aa98d5345efa7fe09bb06d8a9d8f52,Deep Exploration via Bootstrapped DQN,Neural Information Processing Systems,Neural Information Processing Systems,2016.0,"Ian Osband, C. Blundell, A. Pritzel, Benjamin Van Roy",4.0,1071.0,182.0,48.0,False,"['Computer Science', 'Mathematics']","[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Mathematics', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",1.0,1.0,0.0,100.0,95.0,1.0,On the Convergence and Sample Complexity Analysis of Deep Q-Networks with $ε$-Greedy Exploration55,37.0,37.0,NeurIPS,NeurIPS,vanilla_1,0,On the Convergence and Sample Complexity Analysis of Deep Q-Networks with $ε$-Greedy Exploration55vanilla_1
